codec	benchmark	channel	r	n_success	n_trials	success_rate	mediandensityebperg	mediandecodetime_s	mediannsurviving	parity_rate
dna_aeon	2	hifi	0.02	30	30	1.0	107.658	68.27	1156	0.9812
dna_aeon	2	hifi	0.05	0	30	0.0	125.75	0.0	970	0.9451
dna_aeon	2	hifi	0.1	0	30	0.0	136.06	0.0	877	0.8812
dna_aeon	2	hifi	0.2	0	30	0.0	119.556	0.0	949	0.7912
dna_aeon	2	hifi	0.3	0	30	0.0	105.501	0.0	1029	0.7261
dna_aeon	2	hifi	0.5	27	30	0.9	85.625	68.403	1140	0.6261
dna_aeon	2	hifi	1.0	30	30	1.0	66.325	67.787	1188	0.4261
dna_aeon	2	hifi	2.0	25	30	0.8333	47.464	70.799	1129	0.1785
dna_aeon	2	hifi	5.0	30	30	1.0	21.546	62.712	1163	0.0671
dna_aeon	2	hifi	10.0	30	30	1.0	10.978	64.558	1157	0.0499
dna_aeon	2	lofi	0.05	0	30	0.0	110.175	313.755	1106	0.9519
dna_aeon	2	lofi	0.1	0	30	0.0	123.34	0.0	971	0.8923
dna_aeon	2	lofi	0.2	0	30	0.0	108.447	0.0	1052	0.8123
dna_aeon	2	lofi	0.3	0	30	0.0	98.79	0.0	1086	0.7412
dna_aeon	2	lofi	0.5	30	30	1.0	64.881	366.673	1505	0.7167
dna_aeon	2	lofi	1.0	25	30	0.8333	61.7	365.173	1262	0.4612
dna_aeon	2	lofi	2.0	0	30	0.0	45.362	341.851	1182	0.2145
dna_aeon	2	lofi	5.0	0	30	0.0	21.031	326.66	1180	0.0812
dna_aeon	2	lofi	10.0	0	30	0.0	10.847	349.388	1171	0.0612
mahoraga	2	hifi	0.02	30	30	1.0	153.249	463.425	720	
mahoraga	2	hifi	0.05	30	30	1.0	150.976	171.858	712	
mahoraga	2	hifi	0.1	30	30	1.0	147.296	154.37	709	
mahoraga	2	hifi	0.2	30	30	1.0	140.289	133.821	710	
mahoraga	2	hifi	0.3	30	30	1.0	133.725	146.766	707	
mahoraga	2	hifi	0.5	30	30	1.0	121.784	141.592	710	
mahoraga	2	hifi	1.0	30	30	1.0	97.782	140.826	704	
mahoraga	2	hifi	2.0	30	30	1.0	66.879	141.632	703	
mahoraga	2	hifi	5.0	30	30	1.0	30.716	139.445	713	
mahoraga	2	hifi	10.0	30	30	1.0	15.465	148.662	717	
mahoraga	2	lofi	0.02	30	30	1.0	116.097	560.362	951	
mahoraga	2	lofi	0.05	30	30	1.0	114.379	358.282	937	
mahoraga	2	lofi	0.1	30	30	1.0	111.588	277.679	944	
mahoraga	2	lofi	0.2	30	30	1.0	106.272	242.108	940	
mahoraga	2	lofi	0.3	30	30	1.0	101.292	245.161	934	
mahoraga	2	lofi	0.5	30	30	1.0	92.25	235.718	935	
mahoraga	2	lofi	1.0	30	30	1.0	74.121	233.959	929	
mahoraga	2	lofi	2.0	30	30	1.0	50.679	238.929	925	
mahoraga	2	lofi	5.0	30	30	1.0	23.271	229.144	939	
mahoraga	2	lofi	10.0	30	30	1.0	11.721	255.782	946	
mgcplus	2	hifi	0.02	0	30	0.0		3600.0	0	
mgcplus	2	hifi	0.05	0	30	0.0	114.52	0.0	969	0.9451
mgcplus	2	hifi	0.1	0	30	0.0	123.913	0.0	877	0.8812
mgcplus	2	hifi	0.2	0	30	0.0	108.88	0.0	947	0.7912
mgcplus	2	hifi	0.3	0	30	0.0	95.219	0.0	1027	0.7261
mgcplus	2	hifi	0.5	29	30	0.9667	77.984	78.042	1139	0.6261
mgcplus	2	hifi	1.0	30	30	1.0	59.864	37.611	1187	0.4261
mgcplus	2	hifi	2.0	16	30	0.5333	42.827	22.295	1128	0.1785
mgcplus	2	hifi	5.0	30	30	1.0	19.46	19.186	1161	0.0671
mgcplus	2	hifi	10.0	30	30	1.0	9.907	17.875	1156	0.0499
mgcplus	2	lofi	0.02	0	30	0.0		0.0	0	0.9847
mgcplus	2	lofi	0.05	0	30	0.0		3600.0	0	
mgcplus	2	lofi	0.1	0	30	0.0	112.33	0.0	970	0.8923
mgcplus	2	lofi	0.2	2	30	0.0667	97.88	0.0	1052	0.8123
mgcplus	2	lofi	0.3	7	30	0.2333	89.968	0.0	1086	0.7412
mgcplus	2	lofi	0.5	30	30	1.0	59.092	159.59	1503	0.7167
mgcplus	2	lofi	1.0	30	30	1.0	56.192	60.975	1261	0.4612
mgcplus	2	lofi	2.0	30	30	1.0	40.959	26.837	1180	0.2145
mgcplus	2	lofi	5.0	30	30	1.0	19.167	24.907	1178	0.0812
mgcplus	2	lofi	10.0	30	30	1.0	9.788	20.335	1170	0.0612
