codec,benchmark,channel,r,n_trials,n_success,success_rate,median_density_eb_per_g,median_decode_time_s,median_preproc_time_s,median_n_surviving,median_inner_pass_rate,input_size_bytes,preprocessing,parity_rate,git_shas,hmm_rs_versions,idsim_versions,channel_coverage_sigma
mgcplus,2,hifi,0.1,30,0,0.0,123.913,0.0,14.835,877,,15360,,0.8812,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,0.2,30,0,0.0,108.88,0.0,18.854,947,,15360,,0.7912,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,0.3,30,0,0.0,95.219,0.0,21.669,1027,,15360,,0.7261,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,0.5,30,29,0.9667,77.984,78.042,27.931,1139,,15360,,0.6261,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,1.0,30,30,1.0,59.864,37.611,40.758,1187,,15360,,0.4261,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,2.0,30,16,0.5333,42.827,22.295,48.804,1128,,15360,,0.1785,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,5.0,30,30,1.0,19.46,19.186,61.463,1161,,15360,,0.0671,unknown,unknown,0.1.0,0.3
mgcplus,2,hifi,10.0,30,30,1.0,9.907,17.875,52.347,1156,,15360,,0.0499,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,0.02,30,0,0.0,,0.0,0.0,0,,15360,,0.9847,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,0.05,30,0,0.0,,3600.0,0.0,0,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,0.1,30,0,0.0,112.33,0.0,20.931,970,,15360,,0.8923,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,0.2,30,2,0.0667,97.88,0.0,21.666,1052,,15360,,0.8123,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,0.3,30,7,0.2333,89.968,0.0,23.373,1086,,15360,,0.7412,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,0.5,30,30,1.0,59.092,159.59,34.002,1503,,15360,,0.7167,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,1.0,30,30,1.0,56.192,60.975,43.486,1261,,15360,,0.4612,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,2.0,30,30,1.0,40.959,26.837,70.791,1180,,15360,,0.2145,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,5.0,30,30,1.0,19.167,24.907,65.439,1178,,15360,,0.0812,unknown,unknown,0.1.0,0.3
mgcplus,2,lofi,10.0,30,30,1.0,9.788,20.335,63.433,1170,,15360,,0.0612,unknown,unknown,0.1.0,0.3
