codec,benchmark,channel,r,n_trials,n_success,success_rate,median_density_eb_per_g,median_decode_time_s,median_preproc_time_s,median_n_surviving,median_inner_pass_rate,input_size_bytes,preprocessing,parity_rate,git_shas,hmm_rs_versions,idsim_versions,channel_coverage_sigma
mgcplus,1,hifi,0.1,30,0,0.0,528.229,0.0,5.054,208,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,0.2,30,0,0.0,264.115,0.0,12.014,395,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,0.3,30,0,0.0,176.076,0.0,17.575,559,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,0.5,30,0,0.0,105.646,0.0,27.622,843,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,1.0,30,30,1.0,52.823,66.744,55.681,1340,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,2.0,30,30,1.0,26.411,67.767,90.189,1830,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,5.0,30,30,1.0,10.565,66.624,113.501,2136,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,hifi,10.0,30,30,1.0,5.282,70.461,100.609,2167,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,0.02,30,0,0.0,2641.147,0.0,1.663,42,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,0.05,30,0,0.0,1056.459,0.0,3.668,108,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,0.1,30,0,0.0,528.229,0.0,6.55,208,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,0.2,30,0,0.0,264.115,0.0,11.677,395,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,0.3,30,0,0.0,176.076,0.0,16.194,559,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,0.5,30,0,0.0,105.646,0.0,30.206,843,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,1.0,30,30,1.0,52.823,62.51,58.308,1340,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,2.0,30,30,1.0,26.411,68.834,89.998,1830,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,5.0,30,30,1.0,10.565,54.312,115.169,2136,,15360,,,unknown,unknown,0.1.0,0.3
mgcplus,1,lofi,10.0,30,30,1.0,5.282,46.498,98.578,2167,,15360,,,unknown,unknown,0.1.0,0.3
